"full","location","plot","treat","BI","KEY"
"B2_LW_3","S3","B2","LW",0.137771595650827,"B2LWS3"
"B2_LW_4","S4","B2","LW",0.128212136192498,"B2LWS4"
"B2_LW_5","S5","B2","LW",0.148047471912473,"B2LWS5"
"B2_LW_6","S6","B2","LW",0.139286988651533,"B2LWS6"
"B2_LW_7","S7","B2","LW",0.110720090504258,"B2LWS7"
"B2_LW_8","S8","B2","LW",0.12755118962614,"B2LWS8"
"B2_LW_9","S9","B2","LW",0.104874620759699,"B2LWS9"
"B3_LW_1","S1","B3","LW",0.106470581388533,"B3LWS1"
"B3_LW_10","S10","B3","LW",0.06542316119151,"B3LWS10"
"B3_LW_11","S11","B3","LW",0.133909592151873,"B3LWS11"
"B3_LW_12","S12","B3","LW",0.122296174546334,"B3LWS12"
"B3_LW_13","S13","B3","LW",0.0863189340756122,"B3LWS13"
"B3_LW_14","S14","B3","LW",0.112421647169585,"B3LWS14"
"B3_LW_15","S15","B3","LW",0.0663431640985202,"B3LWS15"
"B3_LW_2","S2","B3","LW",0.138705427578336,"B3LWS2"
"B3_LW_3","S3","B3","LW",0.100123372027747,"B3LWS3"
"B3_LW_4","S4","B3","LW",0.0998263015193772,"B3LWS4"
"B3_LW_5","S5","B3","LW",0.132587262406564,"B3LWS5"
"B3_LW_6","S6","B3","LW",0.0854796082404823,"B3LWS6"
"B3_LW_7","S7","B3","LW",0.0638073357324932,"B3LWS7"
"B3_LW_8","S8","B3","LW",0.114268514253315,"B3LWS8"
"B3_LW_9","S9","B3","LW",0.135240227305265,"B3LWS9"
"B4_LW_1","S1","B4","LW",0.163610008387187,"B4LWS1"
"B4_LW_10","S10","B4","LW",0.112897680864876,"B4LWS10"
"B4_LW_11","S11","B4","LW",0.121353593165725,"B4LWS11"
"B4_LW_12","S12","B4","LW",0.0976403288002656,"B4LWS12"
"B4_LW_13","S13","B4","LW",0.0545154799900452,"B4LWS13"
"B4_LW_14","S14","B4","LW",0.115017576035808,"B4LWS14"
"B4_LW_15","S15","B4","LW",0.133184004325663,"B4LWS15"
"B4_LW_2","S2","B4","LW",0.104104411861009,"B4LWS2"
"B4_LW_3","S3","B4","LW",0.0829187867293675,"B4LWS3"
"B4_LW_4","S4","B4","LW",0.154315344250713,"B4LWS4"
"B4_LW_5","S5","B4","LW",0.128027249091117,"B4LWS5"
"B4_LW_6","S6","B4","LW",0.0757584947223883,"B4LWS6"
"B4_LW_7","S7","B4","LW",0.141078688892409,"B4LWS7"
"B4_LW_8","S8","B4","LW",0.153279811225189,"B4LWS8"
"B4_LW_9","S9","B4","LW",0.0902349407948262,"B4LWS9"
"B5_LW_1","S1","B5","LW",0.147497635901009,"B5LWS1"
"B5_LW_10","S10","B5","LW",0.123082322896564,"B5LWS10"
"B5_LW_11","S11","B5","LW",0.131130791291635,"B5LWS11"
"B5_LW_12","S12","B5","LW",0.097722137418198,"B5LWS12"
"B5_LW_13","S13","B5","LW",0.130931058284912,"B5LWS13"
"B5_LW_14","S14","B5","LW",0.189493943330916,"B5LWS14"
"B5_LW_15","S15","B5","LW",0.148248831553162,"B5LWS15"
"B5_LW_2","S2","B5","LW",0.182256890263401,"B5LWS2"
"B5_LW_3","S3","B5","LW",0.172663100011522,"B5LWS3"
"B5_LW_4","S4","B5","LW",0.119278129008219,"B5LWS4"
"B5_LW_5","S5","B5","LW",0.160884075150075,"B5LWS5"
"B5_LW_6","S6","B5","LW",0.174843516666708,"B5LWS6"
"B5_LW_7","S7","B5","LW",0.139944368564145,"B5LWS7"
"B5_LW_8","S8","B5","LW",0.165034950603705,"B5LWS8"
"B5_LW_9","S9","B5","LW",0.157901537566015,"B5LWS9"
